
                                                                                Prime factors of 3^k - 2^k for k <= 300


   k   |                                                                               Prime factors of 3^k - 2^k
   211 | 71741 2021381 60535670011 673195626601 7961896012239438814655254719120655889025688949034591067758381776329
   212 | 5 13 107 24574686173 1474296171913 19383245658672820642055731 28900785585664327723593061693364968422740414514061
   213 | 19 67049419 111998979662707645844109121 2968004596822077086304911021670085519393409375658714926935003622851
   214 | 5 643 1499 28463 30543151 1829563469 33661629004279868278205583994326979 4923668198902261831578616884009661695587
   215 | 211 431 1196347 84238291 636618868367 653226538905447085447366838258692414841290693462264457585016377181585481
   216 | 5 7 13 19 37 61 73 97 109 181 433 577 1009 2593 3889 5521 13177 27793 43633 2393389 3924289 377604937 397760329 13258099121041937966158513
   217 | 29 71 19531 617671248800299 1380937620527093931041875988096094020093442378020814553738300538914920287236294321
   218 | 5 2399 26161 128621 180287 99405167 221709530947 8274026360284002523 258331949189986326367 300202495754209893864720697
   219 | 19 293 12656011 610615363 645845309 28037419956979 5148118061621371 215525406486734078635603 357153955800796052994163
   220 | 5 5 11 11 13 23 23 211 331 4621 35839 55661 107581 33000001 2414250301 143083295851 28909244547481 1950476971971949200862478871104521
   221 | 53 29927 129009091 292570001043947777892197 13213571901433344934283519 3512270039661515804531921543295636029568817
   222 | 5 7 19 149 223 8891471 50642213021 604408111852283 2549478251221609 4185699723047415259 129888234476568012959179713274897
   223 | 6691 ... (C103)
   224 | 5 13 17 29 71 97 113 401 463 673 3041 14177 78569 369181 3001769 1009493350615396529 6353013366833029265494966689456930135079943041
   225 | 19 101 211 601 1009 1051 3571 11251 12601 39756701 77139028801 204521695561 693477625051 16751715789451 236404043781518073556470601
   226 | 5 227 91757 2381120538437 6767699731599021026056283 106970700562454472350836183 3760808297896862725084484133384890659
   227 | 167360891302418779411 12102381564694515014432350438002672779054341887509579790377508212702751544613632122970969
   228 | 5 7 13 19 19 61 229 419 457 1559 2053 9007 15277 102829 555029 745181 2439487 8778799 743780461 54458107801 8191816751977 103911691734684541
   229 | 271117470516046849 67237232094433305864393166477037402086197319313004074022941345112953840883539481643687544179
   230 | 5 5 11 47 211 461 3083 13249 2002867877 299288524421 1244003531637747395162400674351 1428084971023809567567751268148238422995671
   231 | 19 23 23 29 43 67 71 331 5237 6217 7393 24939553 117699514703 24634250588641 477623986150219215705210263171363552691689031939074107
   232 | 5 13 59 97 233 1567 2437 5801 7011853 77701093 148466603 272881417 68629840493971 107858385204961 1568848882607857921785739511463937
   233 | 159839 36833107 601105613861 151627931312808787 2751701036391985713666549417466022679062779811068588287577512441269521
   234 | 5 7 19 53 79 577 937 1009 4057 6553 29927 35569 302329 357241 1011271 18054600409 62982602281 134473349011 455049775436257 13559702122447417
   235 | 211 1129 1366291 303168989 1681291991 77681973839 1031162433010065515681221927916539354471495897563937203409743162231131231
   236 | 5 13 709 19471 196382186120677 101358995027174329 1088313667564289029453 145142890373531870546641 14130386091162273752461387579
   237 | 19 317 146309 1069058379451 157531818764909 6743424997709927 119509718329591756838074008698048722320186017755313745709319641
   238 | 5 29 71 239 463 3673 7039 129009091 219895484467 382786631459 749370298192783 34889374644488466803 42908016367933271190455539986407
   239 | 479 556032695243981 ... (C97)
   240 | 5 5 7 11 13 17 19 31 41 61 97 211 241 281 401 2341 3121 3571 4621 5521 8161 24001 41432641 175148497921 1783433557073281 2201414671278481 2495789345064481
   241 | 28439 2593378829 131353637826254639188804036438381876118285904491705965023787967936287453273612276629981030884737333321
   242 | 5 23 23 331 727 3631 35839 3711813415875577 8294725495836621986715516373121185537 11396861583589129184317782918312975742060672897
   243 | 19 163 1009 7415227 397760329 5017613203 48110884801223689 291523673993774795223157729 134422589246208345134201918342587186421587
   244 | 5 13 15373 21107 93941 5764013 203778431 6643288986915481 209061986047163521 80926563051253100559542131196901585802655484271033537
   245 | 29 71 197 211 6091 232751 18906721 4209063010391 589955028851094677 204530703571356423566971 673508623337272676993826945073021810411
   246 | 5 7 19 83 821 11071 32309 35507 99139 13869481 16727017 223574641 147226839649 3576346847737 132972762370027 11361255391495010842857421647703
   247 | 53 1559 6917 29927 745181 554096234179339381151607889479147949154995724704226087882923070002865875456676266541239510748254223
   248 | 5 13 97 373 1489 3659 10169 22674269 34686397 2139086057 617671248800299 348817011776168009 2268330947579252221 197769670262480373728899433
   249 | 19 167 499 28387 2012419 2148331726243 3791445821098630996753 1801484705131668876500068236391753 47890252291257128126044781281592543
   250 | 5 5 5 5 11 101 211 251 1201 513101 39756701 27884532843001 14726555364585012892444440090751 515397931586890805724262529672368870694338434001
   251 | 503 ... (C118)
   252 | 5 7 7 13 19 29 37 43 61 71 73 127 181 463 577 1009 2017 3529 6217 7687 43261 92233 110251 369181 577081 8639401 278775379 537692653 194208941809 39129603181836301
   253 | 23 23 23 47 331 18217 34908941 2002867877 5488032953063 3891217802157280072417096962889721559914585300211252807333568407254377828645967
   254 | 5 509 6324601 64233553 5486877171767 355546148894851 50357873166123750971 38420842848981392597615861 3957859287933228402790714823803
   255 | 19 211 307 3163 3571 22441 129009091 904841491 205987887004051 58797880998898354362629971 105055330751068702153043605721087347200346380121
   256 | 5 13 17 97 257 401 769 1153 3041 14177 121899667073 1607133116929 36629538145348481 45876204582640401445607833244277975113391731388650867226881
   257 | 3650201327 114247220844165289049224917003868019618046824570124111266639206512722372880755761151052076786187552795911804402733
   258 | 5 7 19 173 431 947 5333 14449 30187 1196347 5200421 3310558219 636618868367 46993657769172799 327559805394979121755489 56748336081377426535170587
   259 | 29 71 7253 12433 13469 8891471 50642213021 630480358275811 5286421753127675395285829010752556252826859710743043860192882881148495136201
   260 | 5 5 11 13 13 53 79 131 211 1093 4057 4621 5981 15601 29927 41341 2010191 13761229 47891351 319716931 149166625778220961 14006500529974555327047567002302728601
   261 | 19 523 1009 194707 6209017 308673217 1522600921 26222472163 50668759459 68629840493971 65025646862608201023254715836669555596010560730609587
   262 | 5 263 5923631099 7338391849413604227975799 1464621689539044811822273019 1210399177182288006201752262354382648158190136861552303421773
   263 | C126
   264 | 5 7 13 19 23 23 61 67 89 97 199 331 617 5521 35839 22270249 24939553 395297101 2414250301 40834167001 184879309516177 175651822579831731574054050278935909201
   265 | 211 3829781 19383245658672820642055731 ... (C93)
   266 | 5 29 71 419 463 1559 555029 745181 19867541 9388046463781002573829883 566853658105958063427532037 60286285357068323908884890185142379901668431
   267 | 19 4120081168939 706132008101135602203621405289 445481567519686599686158311464472440433814652052922667197872788637246803994882403891
   268 | 5 13 269 573253 8556286591 12384629339 17685389279 174978917747 107120671093357 19487546413505693209 10766763142495403804480039985297256081298461
   269 | 3767 58833122596041019850277965408508940208380870952125838087379156948993498251689923575161076689330121444393974916753840891087813
   270 | 5 5 7 11 19 31 211 241 271 577 1009 2791 3571 1315711 127559071 377604937 397760329 3383270641 204521695561 6485668152547332660657841 64825437916329999414346801
   271 | 2711 735750407736473144959046057264728365874119021724332398617327934122565857164514694088659506296666818455309890905079155116415309
   272 | 5 13 17 17 97 137 401 1361 3673 6529 7039 236641 129009091 93067415281 950310165593 52777530392849 1282861452271981 3183465801136433 447089406259325369050081
   273 | 19 29 43 53 71 547 6217 29927 96643 989353 1256347 12169249 46134817 22495663009 29602264147 134473349011 6175294799857 53048777552907571641255207695909737
   274 | 5 823 10139 715963 1026679 25340617 1115350590485837 7743810553505190928448899 191683031205355179199958277121 41856855393835922319755115319026643
   275 | 23 23 101 211 331 14851 436151 33000001 39756701 97891736251 143083295851 522456078101 696235136818198777149779286979263141815928139711833269179522651
   276 | 5 7 13 19 47 61 139 277 461 691 829 3083 13249 53269 102811 174571 270619 2002867877 12798522145252969 536796759755555833 10446755020254746989 1266021208542598810111
   277 | 1454077510067338869372316944847370699315973030897734074697784296203115548999965031474021874144975537134405477448628043552826333261491
   278 | 5 557 180701 4064083 534791548469 4647078770987 16089060265481219 1598789291028673291 3326254807627778280849547 10030405577048408862815387897154011
   279 | 19 1009 41388734137 106292033371 617671248800299 485158402948122523 517799344626015499879031900498706249577318086949934391213632701342973276731
   280 | 5 5 11 13 29 41 71 97 211 281 463 2521 3121 4621 6091 13441 78569 369181 3001769 18906721 4762455881 392943879511 75005362926761 3330924131977261 21323976984295510274401
   281 | 1271780711 ... (C125)
   282 | 5 7 19 283 1129 6299 75577 8678833 303168989 77681973839 11170373961701 11636933959621098088031030445636513007 131479459318792575326390806103446996508857
   283 | 6793 452802040997 ... (C120)
   284 | 5 13 1279 5113 8521 24709 606341 67049419 378770204035162384997 111998979662707645844109121 20602934563801140363174401507923665890002550034920372967409
   285 | 19 19 191 211 457 571 1559 3571 23371 745181 3301631 351536786281 8191816751977 1609266656997091 13720405721466007835103211 123461833134524807365862996193631801
   286 | 5 23 23 53 79 331 4057 29927 35839 639868373 64260057577 935665618869351371 110590649554458058129 8608106912640683724041725103 48991378138982523134834853053
   287 | 29 71 821 32309 99139 13869481 14069626072321 ... (C101)
   288 | 5 7 13 17 19 37 61 73 97 181 193 401 577 1009 2593 3041 3169 3889 5521 14177 27793 38977 369793 41432641 69359041 245953921 25169360989905069409 248072535748050682489095956648257
   289 | 129009091 27898271669 204456200330920249 1050133986616380121116144457509767404540060956596733490422251449679809275414206975278000529339680994501
   290 | 5 5 11 59 211 1567 89611 208511 148466603 1078723441 68629840493971 11656397356111561 482760636131855627222316551 373929169086701893971768464314931590574709991
   291 | 19 8731 319128643 59813046375181769306016700165290169537 ... (C88)
   292 | 5 13 293 439 22777 63949 3606347 645845309 5990256193 374846134168397471243 357153955800796052994163 917235135356442534778717976272764900691323352904448673
   293 | 863179 2289503 ... (C128)
   294 | 5 7 7 7 19 29 43 71 197 463 883 6217 92233 224617 3440291 3566809 5935273 133768139 589955028851094677 603113129008172292789931 1810099742495545500007721143785356502823
   295 | 211 744939311 14130386091162273752461387579 ... (C102)
   296 | 5 13 97 149 7549 21313 8891471 25918649 3094090369 50642213021 604408111852283 31330151333999377 233669003152874453180101777 69977834366378396125021357097423657
   297 | 19 23 23 67 331 1009 2377 55243 24939553 397760329 31380595291 12884961778437920314402513 42800469719882256845691132821969094206684861284560043245799044366379177
   298 | 5 363503977 9469970353 35826894687127246804985548437808941002293995812091691 24665899002341798194980052306171212216360861465143461865961807325057879
   299 | 47 53 599 8971 29927 2002867877 32905029878169931 326458532918163673 ... (C85)
   300 | 5 5 5 7 11 13 19 31 61 101 151 211 241 601 751 1051 1201 2341 3571 4621 4801 6151 11701 24001 513101 797701 9802501 39756701 104189401 1333073701 2296284901 12826646101 19679141551 16751715789451

